id;key;value;description;type
1;fooey;cautious;yuck;er
2;thoroughly;growing;why immediate govern;yum
3;voluntarily times buzzing;serene insert;agreeable closely;geez boohoo behind
4;bludgeon ah;kosher;illiterate;hover
5;reflecting scenario bah;even;mid finally;incomplete segregate
6;hm;why supposing corrupt;whoever heavily;boastfully firm
7;irk;finally;recklessly curly;baptise now pacemaker
8;colorful whoever;inwardly phooey brr;poorly indeed downshift;whoever yahoo
9;homeschool;incidentally;with wriggler;whenever
10;hmph incidentally;out how strategy;abandoned as;enormously
11;pinion rear;worth within;incidentally;unkempt unfreeze foolhardy
12;pro until next;rotating who internalize;ha;phooey yet sweet
13;frenetically;absentmindedly;frantically making vain;huzzah subexpression psst
14;expostulate foolishly;gestate unless below;hastily vice;sew elevator
15;along;legal wonderfully within;a pish;yet
16;alert straight rust;despite tightly;immense playfully;drat stigmatize
17;readjust;likewise intend;nocturnal;masticate swathe
18;dereference;creator via;ignorant;nerve dearly
19;supposing;the;oh;cone
20;excepting think calmly;labourer;majestically though lampoon;parade
21;meh per propound;certainly including design;incidentally mmm;joyfully
22;whose;celsius concentration;aw wide-eyed vice;characterization replacement
23;verve um;next however;eek;odd step-mother though
24;tidy boo bleak;char order;ape;seldom
25;disappointment;strange;scholarship;phony
26;minion forager circle;voluminous;postbox inferior;sternly ashamed
27;flawless aw um;astride;who among;humble
28;yet celebrated if;topsail abaft happily;incandescence;beyond oof
29;before;loudly;um save ideal;lovable if
30;boo;into at;bah;quirkily with
